eshram_id,worker_name,week_start,week_end,platform,job_type,age,education,experience_months,zone,satisfaction,weekly_income_inr,avg_daily_income_inr,worked_this_week,income_bracket,platform_volatility_index
2640-1363-8065,Vinod Singh,01-01-2024,07-01-2024,Amazon,Full-time,32,Secondary,47,Urban,Sometimes,4408,735,1,D,0.27
6217-9921-2907,Santosh Verma,01-01-2024,07-01-2024,Amazon,Full-time,22,Secondary,17,Urban,Rarely,3953,659,1,C,0.27
7349-3472-7936,Rahul Sharma,01-01-2024,07-01-2024,Amazon,Full-time,38,Secondary,46,Urban,Always,4663,777,1,D,0.27
4112-3965-6397,Arun Patel,01-01-2024,07-01-2024,Amazon,Full-time,40,Secondary,37,Semi-urban,Yes,4463,744,1,D,0.27
2396-3088-2429,Nikhil Banerjee,01-01-2024,07-01-2024,Amazon,Full-time,28,Primary,54,Semi-urban,Yes,4737,790,1,D,0.27
4963-7821-7884,Bharat Bhat,01-01-2024,07-01-2024,Amazon,Full-time,25,Primary,57,Urban,No,4771,795,1,D,0.27
4232-5218-7253,Shanti Trivedi,01-01-2024,07-01-2024,Amazon,Full-time,24,Primary,46,Urban,No,3488,581,1,C,0.27
2746-6763-3672,Sarita Dey,01-01-2024,07-01-2024,Amazon,Full-time,28,Primary,51,Urban,Yes,4446,741,1,D,0.27
1230-1892-1086,Arun Sen,01-01-2024,07-01-2024,Amazon,Full-time,29,Secondary,56,Urban,No,4585,764,1,D,0.27
4387-6738-2811,Seema Sen,01-01-2024,07-01-2024,Amazon,Full-time,29,Primary,4,Rural,Yes,4664,777,1,D,0.27
9265-4321-1594,Girish Rao,01-01-2024,07-01-2024,Amazon,Full-time,38,Secondary,53,Urban,No,3808,635,1,C,0.27
3496-4426-1355,Rakesh Shaikh,01-01-2024,07-01-2024,Amazon,Full-time,45,Primary,5,Urban,Sometimes,4357,726,1,D,0.27
9969-4113-2677,Bharat Naik,01-01-2024,07-01-2024,Amazon,Part-time,39,Primary,49,Urban,Always,1641,274,1,A,0.27
8660-5353-2598,Ajay Kumar,01-01-2024,07-01-2024,Amazon,Full-time,41,Secondary,24,Urban,Sometimes,3459,576,1,C,0.27
3391-4834-2854,Sunil Kumar,01-01-2024,07-01-2024,Amazon,Part-time,39,Primary,45,Urban,Rarely,511,85,1,A,0.27
6918-6429-4550,Kiran Verma,01-01-2024,07-01-2024,Amazon,Full-time,21,Primary,42,Urban,Yes,5561,927,1,D,0.27
5779-5313-9445,Kavita Nair,01-01-2024,07-01-2024,Amazon,Full-time,36,Secondary,6,Urban,Rarely,4583,764,1,D,0.27
6010-8812-6995,Nisha Malik,01-01-2024,07-01-2024,Amazon,Full-time,28,Primary,4,Urban,Sometimes,5512,919,1,D,0.27
1628-1185-5009,Mahesh Shenoy,01-01-2024,07-01-2024,Amazon,Full-time,22,Secondary,31,Semi-urban,Yes,2898,483,1,B,0.27
1621-9807-5954,Rohit Shetty,01-01-2024,07-01-2024,Amazon,Full-time,22,Secondary,29,Urban,Sometimes,3894,649,1,C,0.27
7558-2428-2814,Suman Reddy,01-01-2024,07-01-2024,Amazon,Part-time,34,Secondary,53,Semi-urban,Sometimes,1016,169,1,A,0.27
1688-6901-4145,Vinod Shaikh,01-01-2024,07-01-2024,Amazon,Full-time,43,Secondary,29,Urban,Sometimes,3946,658,1,C,0.27
4414-1094-1798,Bharat Shaikh,01-01-2024,07-01-2024,Amazon,Part-time,36,Primary,24,Semi-urban,Rarely,1512,252,1,A,0.27
2987-8989-5637,Asha Ahmed,01-01-2024,07-01-2024,Amazon,Full-time,37,Primary,37,Semi-urban,Always,4380,730,1,D,0.27
9046-6192-5651,Nikhil Hegde,01-01-2024,07-01-2024,Amazon,Full-time,23,Primary,50,Urban,Sometimes,4323,720,1,D,0.27
5860-2403-4817,Lalit Tiwari,01-01-2024,07-01-2024,Amazon,Part-time,37,Primary,30,Semi-urban,No,1259,210,1,A,0.27
7800-1547-6954,Ajay Mishra,01-01-2024,07-01-2024,Amazon,Part-time,41,Secondary,2,Urban,Always,1456,243,1,A,0.27
2738-7941-6804,Lalita Sharma,01-01-2024,07-01-2024,Amazon,Full-time,19,Primary,38,Rural,Always,3257,543,1,B,0.27
3256-5540-4851,Shanti Yadav,01-01-2024,07-01-2024,Amazon,Full-time,25,Secondary,12,Urban,Always,4822,804,1,D,0.27
7140-7812-4750,Ganesh Jain,01-01-2024,07-01-2024,Amazon,Full-time,19,Primary,45,Semi-urban,Sometimes,4288,715,1,D,0.27
5573-3048-3614,Neha Trivedi,01-01-2024,07-01-2024,Amazon,Full-time,41,Secondary,6,Rural,Yes,4592,765,1,D,0.27
2206-8886-3158,Bharat Hegde,01-01-2024,07-01-2024,Amazon,Part-time,20,Primary,51,Semi-urban,Sometimes,2403,400,1,A,0.27
4979-6633-5580,Amit Singh,01-01-2024,07-01-2024,Amazon,Part-time,19,Secondary,5,Urban,Sometimes,743,124,1,A,0.27
6224-4837-3146,Varun Bhatt,01-01-2024,07-01-2024,Amazon,Full-time,33,Secondary,6,Urban,Always,4493,749,1,D,0.27
9548-4920-3613,Sita Hegde,01-01-2024,07-01-2024,Amazon,Full-time,22,Primary,23,Rural,No,3762,627,1,C,0.27
5511-3905-9262,Pushpa Rao,01-01-2024,07-01-2024,Amazon,Full-time,21,Secondary,20,Semi-urban,Yes,5198,866,1,D,0.27
4394-6808-6099,Vimala Shah,01-01-2024,07-01-2024,Amazon,Full-time,40,Secondary,21,Semi-urban,Yes,3627,604,1,C,0.27
4831-4995-7037,Sita Parekh,01-01-2024,07-01-2024,Amazon,Full-time,31,Primary,16,Rural,Always,4800,800,1,D,0.27
1269-6334-3728,Ravi Singh,01-01-2024,07-01-2024,Amazon,Part-time,30,Primary,33,Urban,Always,2298,383,1,A,0.27
3337-7610-1012,Anita Jain,01-01-2024,07-01-2024,Amazon,Full-time,44,Secondary,37,Semi-urban,Sometimes,4507,751,1,D,0.27
