eshram_id,week_start,income_bracket
UAN-77-2640-1363-8065,01-01-2024,D
UAN-90-6217-9921-2907,01-01-2024,C
UAN-83-7349-3472-7936,01-01-2024,D
UAN-85-4112-3965-6397,01-01-2024,D
UAN-55-2396-3088-2429,01-01-2024,D
UAN-36-4963-7821-7884,01-01-2024,D
UAN-21-4232-5218-7253,01-01-2024,C
UAN-89-2746-6763-3672,01-01-2024,D
UAN-86-1230-1892-1086,01-01-2024,D
UAN-27-4387-6738-2811,01-01-2024,D
UAN-21-9265-4321-1594,01-01-2024,C
UAN-48-3496-4426-1355,01-01-2024,D
UAN-48-9969-4113-2677,01-01-2024,A
UAN-83-8660-5353-2598,01-01-2024,C
UAN-71-3391-4834-2854,01-01-2024,A
UAN-16-6918-6429-4550,01-01-2024,D
UAN-26-5779-5313-9445,01-01-2024,D
UAN-26-6010-8812-6995,01-01-2024,D
UAN-82-1628-1185-5009,01-01-2024,B
UAN-59-1621-9807-5954,01-01-2024,C
UAN-90-7558-2428-2814,01-01-2024,A
UAN-22-1688-6901-4145,01-01-2024,C
UAN-71-4414-1094-1798,01-01-2024,A
UAN-39-2987-8989-5637,01-01-2024,D
UAN-29-9046-6192-5651,01-01-2024,D
UAN-71-5860-2403-4817,01-01-2024,A
UAN-35-7800-1547-6954,01-01-2024,A
UAN-62-2738-7941-6804,01-01-2024,B
UAN-17-3256-5540-4851,01-01-2024,D
UAN-10-7140-7812-4750,01-01-2024,D
UAN-33-5573-3048-3614,01-01-2024,D
UAN-99-2206-8886-3158,01-01-2024,A
UAN-72-4979-6633-5580,01-01-2024,A
UAN-69-6224-4837-3146,01-01-2024,D
UAN-12-9548-4920-3613,01-01-2024,C
UAN-47-5511-3905-9262,01-01-2024,D
UAN-17-4394-6808-6099,01-01-2024,C
UAN-71-4831-4995-7037,01-01-2024,D
UAN-26-1269-6334-3728,01-01-2024,A
UAN-76-3337-7610-1012,01-01-2024,D
UAN-49-4940-1805-6603,01-01-2024,D
UAN-68-8560-9896-2115,01-01-2024,D
UAN-47-5451-5314-8283,01-01-2024,D
UAN-77-1380-5070-5438,01-01-2024,D
UAN-45-4609-9133-4819,01-01-2024,A
UAN-13-3459-1579-8738,01-01-2024,D
UAN-14-7329-6865-6886,01-01-2024,A
UAN-54-6936-2496-9328,01-01-2024,A
UAN-68-6595-2186-8035,01-01-2024,D
UAN-78-1364-5726-7613,01-01-2024,D
UAN-26-4231-2372-4282,01-01-2024,A
UAN-93-1639-9454-1738,01-01-2024,C
UAN-29-1365-1216-3667,01-01-2024,D
UAN-63-9585-7551-1282,01-01-2024,C
UAN-73-2440-9742-5006,01-01-2024,D
UAN-59-8119-5398-8401,01-01-2024,D
UAN-28-9536-5487-9929,01-01-2024,D
UAN-20-9275-1761-4737,01-01-2024,D
UAN-99-3473-5694-9734,01-01-2024,D
UAN-80-8538-5651-3019,01-01-2024,D
UAN-42-5851-9238-5792,01-01-2024,B
UAN-17-1995-4204-5323,01-01-2024,C
UAN-91-9066-5812-5044,01-01-2024,C
UAN-51-8466-1900-4700,01-01-2024,D
UAN-25-2676-1661-7233,01-01-2024,D
UAN-26-9729-5078-9709,01-01-2024,D
UAN-67-9735-7101-8282,01-01-2024,D
UAN-56-3378-9204-6948,01-01-2024,D
UAN-13-5550-7560-6627,01-01-2024,D
UAN-68-4864-3874-7119,01-01-2024,D
UAN-92-8031-8567-1256,01-01-2024,A
UAN-19-7934-9201-3568,01-01-2024,D
UAN-95-9840-7391-1437,01-01-2024,B
UAN-71-7001-5659-2958,01-01-2024,C
UAN-24-9007-1153-6548,01-01-2024,C
UAN-36-9232-9765-9480,01-01-2024,D
UAN-66-7075-6470-5726,01-01-2024,B
UAN-87-4647-4190-4886,01-01-2024,D
UAN-71-8832-1295-6372,01-01-2024,B
UAN-32-9459-3589-3492,01-01-2024,A
UAN-66-5123-7434-5080,01-01-2024,C
UAN-21-9998-1196-2904,01-01-2024,D
UAN-33-2768-8501-8984,01-01-2024,B
UAN-90-2599-6664-4192,01-01-2024,D
UAN-76-1502-7401-9940,01-01-2024,B
UAN-72-7668-7974-4742,01-01-2024,D
UAN-58-2648-8281-8986,01-01-2024,A
UAN-93-9157-3668-4315,01-01-2024,B
UAN-26-8573-6512-1728,01-01-2024,D
UAN-53-6804-8724-6821,01-01-2024,A
UAN-84-1455-5435-7016,01-01-2024,C
UAN-76-9023-1820-1936,01-01-2024,B
UAN-83-9112-3293-1037,01-01-2024,D
UAN-53-3500-9794-9532,01-01-2024,C
UAN-94-7911-2412-1499,01-01-2024,C
UAN-66-5458-2600-8079,01-01-2024,A
UAN-26-2609-2674-1106,01-01-2024,C
UAN-77-8312-9891-3626,01-01-2024,A
UAN-82-4346-3791-1321,01-01-2024,C
UAN-40-5196-4344-8856,01-01-2024,A
UAN-45-6495-6067-6597,01-01-2024,C
UAN-90-5470-2093-5454,01-01-2024,D
UAN-20-5023-2669-6392,01-01-2024,A
UAN-54-5636-9843-4026,01-01-2024,C
UAN-22-2669-7347-6948,01-01-2024,D
UAN-23-2256-9496-1522,01-01-2024,D
UAN-95-1123-4845-3631,01-01-2024,C
UAN-29-9742-4652-9363,01-01-2024,D
UAN-27-6542-9149-1032,01-01-2024,C
UAN-39-3324-7953-1844,01-01-2024,D
UAN-43-6048-4906-2910,01-01-2024,B
UAN-89-9894-9893-6612,01-01-2024,C
UAN-25-3807-7792-5341,01-01-2024,B
UAN-27-7699-7037-7589,01-01-2024,B
UAN-37-4001-7245-3685,01-01-2024,A
UAN-99-5680-3005-5418,01-01-2024,D
UAN-17-1837-1339-6538,01-01-2024,D
UAN-71-5558-9721-7990,01-01-2024,C
UAN-40-3760-1701-2126,01-01-2024,D
UAN-37-1512-9860-3209,01-01-2024,B
UAN-53-2927-5069-5480,01-01-2024,A
UAN-32-3667-7876-6594,01-01-2024,A
UAN-82-7125-2311-2980,01-01-2024,C
UAN-44-4277-5990-6396,01-01-2024,B
UAN-61-6196-3764-4181,01-01-2024,D
UAN-60-6808-5031-5191,01-01-2024,A
UAN-40-2906-1935-9229,01-01-2024,B
UAN-35-5134-6438-5831,01-01-2024,B
UAN-39-2166-1879-8599,01-01-2024,D
UAN-34-5400-6850-2940,01-01-2024,D
UAN-64-5612-8502-8582,01-01-2024,A
UAN-83-1099-3113-2449,01-01-2024,B
UAN-20-5987-3835-6925,01-01-2024,C
UAN-82-7430-9674-5855,01-01-2024,D
UAN-26-4644-7327-8179,01-01-2024,D
UAN-30-1862-9944-7412,01-01-2024,D
UAN-77-1981-3769-1663,01-01-2024,C
UAN-78-6738-4064-3147,01-01-2024,D
UAN-13-2583-6357-3282,01-01-2024,A
UAN-36-7249-3187-7723,01-01-2024,A
UAN-83-3877-9342-5256,01-01-2024,A
UAN-95-8071-8576-8329,01-01-2024,B
UAN-21-2719-1252-7336,01-01-2024,B
UAN-21-8418-4502-8986,01-01-2024,C
UAN-69-6748-8511-4875,01-01-2024,A
UAN-80-5797-8603-4104,01-01-2024,D
UAN-20-1913-1753-6591,01-01-2024,A
UAN-33-6979-9831-3279,01-01-2024,A
UAN-91-8500-8289-9537,01-01-2024,C
UAN-77-2684-6961-3879,01-01-2024,A
UAN-76-1321-5336-5256,01-01-2024,A
UAN-24-7726-2862-8823,01-01-2024,B
UAN-77-5864-6629-8835,01-01-2024,B
UAN-25-5998-6165-6950,01-01-2024,D
UAN-81-9788-6499-1889,01-01-2024,C
UAN-11-2700-7445-8892,01-01-2024,A
UAN-75-5958-1314-4063,01-01-2024,B
UAN-63-9329-4417-7309,01-01-2024,C
UAN-85-9126-8412-3795,01-01-2024,B
UAN-72-6040-5876-8389,01-01-2024,B
UAN-26-4643-9689-6282,01-01-2024,B
UAN-54-1987-5547-7635,01-01-2024,B
UAN-96-6333-7245-1404,01-01-2024,C
UAN-60-8117-7929-8772,01-01-2024,B
UAN-20-7602-3934-5871,01-01-2024,C
UAN-31-7125-8727-2057,01-01-2024,A
UAN-74-5999-8346-6133,01-01-2024,A
UAN-50-6290-1666-2434,01-01-2024,B
UAN-53-5492-8199-8516,01-01-2024,D
UAN-85-2973-6073-4036,01-01-2024,A
UAN-89-4899-1022-7211,01-01-2024,B
UAN-76-8511-7298-3740,01-01-2024,A
UAN-28-6604-7654-9546,01-01-2024,A
UAN-94-8461-5366-9651,01-01-2024,D
UAN-83-3775-9974-6275,01-01-2024,C
UAN-10-4276-2010-6228,01-01-2024,D
UAN-64-2116-3067-1674,01-01-2024,B
UAN-43-8631-3121-8268,01-01-2024,D
UAN-59-6753-1346-5760,01-01-2024,A
UAN-31-5109-9416-5088,01-01-2024,C
UAN-67-2886-9417-5363,01-01-2024,C
UAN-16-5560-9189-6749,01-01-2024,D
UAN-22-5947-6172-5000,01-01-2024,C
UAN-93-6777-3439-5887,01-01-2024,C
UAN-86-7793-4934-6349,01-01-2024,B
UAN-26-2438-2387-9170,01-01-2024,A
UAN-59-7487-4851-1905,01-01-2024,C
UAN-88-9828-2159-3406,01-01-2024,C
UAN-72-4061-2308-3601,01-01-2024,B
UAN-42-4619-6601-6408,01-01-2024,A
UAN-32-8919-3727-2053,01-01-2024,C
UAN-44-9481-2654-9452,01-01-2024,B
UAN-31-1572-1323-3492,01-01-2024,A
UAN-18-1660-7607-3971,01-01-2024,A
UAN-67-5227-8577-1307,01-01-2024,C
UAN-37-6771-6236-7161,01-01-2024,B
UAN-86-4465-4777-3713,01-01-2024,A
UAN-88-5974-2046-1311,01-01-2024,A
UAN-44-9980-6047-2819,01-01-2024,C
UAN-95-4208-2014-8395,01-01-2024,A
UAN-34-6323-9581-2367,01-01-2024,C
UAN-49-1499-5584-7603,01-01-2024,A
UAN-30-8357-6432-9198,01-01-2024,C
UAN-53-9040-5914-4655,01-01-2024,D
UAN-90-5109-8274-1285,01-01-2024,D
UAN-87-9261-9046-1608,01-01-2024,C
UAN-78-4854-1032-1196,01-01-2024,A
UAN-31-6835-4327-9739,01-01-2024,B
UAN-76-3364-2196-6398,01-01-2024,B
UAN-75-7671-6836-1676,01-01-2024,B
UAN-99-8126-4230-6414,01-01-2024,C
UAN-99-4180-9572-8985,01-01-2024,A
UAN-43-5079-3646-3077,01-01-2024,C
UAN-61-2400-3376-3339,01-01-2024,B
UAN-75-9920-4026-7185,01-01-2024,B
UAN-86-3686-5049-4800,01-01-2024,A
UAN-60-3934-5542-7702,01-01-2024,C
UAN-44-6135-4805-5605,01-01-2024,B
UAN-91-4448-5403-1398,01-01-2024,C
UAN-73-4708-8668-8628,01-01-2024,B
UAN-38-2335-9611-1121,01-01-2024,C
UAN-57-8070-7613-1909,01-01-2024,A
UAN-44-1595-1805-3262,01-01-2024,C
UAN-14-1015-6502-4755,01-01-2024,A
UAN-36-6417-3646-4360,01-01-2024,A
UAN-85-4302-3011-7837,01-01-2024,A
UAN-62-2024-2715-9869,01-01-2024,A
UAN-30-2042-5833-8155,01-01-2024,B
UAN-76-4113-3235-5227,01-01-2024,C
UAN-49-5386-8233-5206,01-01-2024,A
UAN-88-6469-9036-6851,01-01-2024,A
UAN-55-4332-3345-5245,01-01-2024,C
UAN-59-9828-6083-7369,01-01-2024,A
UAN-19-2315-5565-2950,01-01-2024,C
UAN-19-6432-7615-2711,01-01-2024,A
UAN-22-5261-6367-8576,01-01-2024,B
UAN-19-9114-9868-9592,01-01-2024,A
UAN-29-7614-1219-4858,01-01-2024,B
UAN-10-6718-8442-3547,01-01-2024,B
UAN-84-9271-8904-1121,01-01-2024,B
UAN-91-9774-7544-4734,01-01-2024,B
UAN-62-3757-5533-8291,01-01-2024,A
UAN-40-3700-8975-8328,01-01-2024,D
UAN-75-6658-1837-7096,01-01-2024,C
UAN-69-6600-9402-1991,01-01-2024,C
UAN-75-5175-3095-2616,01-01-2024,C
UAN-47-4226-2988-5451,01-01-2024,B
UAN-82-8962-1833-2315,01-01-2024,C
UAN-39-6581-1385-9779,01-01-2024,A
UAN-86-1316-3182-3102,01-01-2024,B
UAN-63-5279-6760-1948,01-01-2024,A
UAN-15-6684-1843-4043,01-01-2024,C
UAN-91-6818-7429-8016,01-01-2024,B
UAN-92-8079-7829-1460,01-01-2024,A
UAN-93-7256-8339-9462,01-01-2024,B
UAN-15-6041-2781-6418,01-01-2024,B
UAN-16-4482-2603-7750,01-01-2024,B
UAN-16-6414-6037-8077,01-01-2024,B
UAN-73-2483-4676-5279,01-01-2024,B
UAN-16-7804-3515-9206,01-01-2024,B
UAN-88-9797-8716-1961,01-01-2024,B
UAN-14-4462-9028-3672,01-01-2024,A
UAN-28-1735-4310-3302,01-01-2024,C
UAN-39-2551-6100-2942,01-01-2024,C
UAN-55-1348-9324-9910,01-01-2024,B
UAN-97-6465-3300-6600,01-01-2024,A
UAN-55-9457-8502-3009,01-01-2024,D
UAN-87-2033-2074-2058,01-01-2024,B
UAN-18-3746-6095-1214,01-01-2024,A
UAN-13-9455-6586-6436,01-01-2024,B
UAN-47-7351-8165-6845,01-01-2024,C
UAN-80-5009-4335-5100,01-01-2024,B
UAN-75-6915-8928-2630,01-01-2024,B
UAN-85-7406-5446-8105,01-01-2024,B
UAN-16-4209-5506-9159,01-01-2024,B
UAN-13-2239-6681-5708,01-01-2024,A
